"Year","FreeStudents","ReducedStudents","PaidStudents","TotalStudents","MealsServed","PercentFree"
1975,1450000,40000,330000,1820000,294700000,0.821
1976,1760000,60000,370000,2200000,353600000,0.842
1977,2020000,110000,360000,2490000,434300000,0.857
1978,2230000,160000,420000,2800000,478800000,0.853
1979,2560000,210000,540000,3320000,565600000,0.841
1980,2790000,250000,560000,3600000,619900000,0.852
1981,3050000,250000,510000,3810000,644200000,0.869
1982,2800000,160000,360000,3320000,567400000,0.893
1983,2870000,150000,340000,3360000,580700000,0.903
1984,2910000,150000,370000,3430000,589200000,0.897
1985,2880000,160000,4e+05,3440000,594900000,0.886
1986,2930000,160000,410000,3500000,610600000,0.887
1987,3010000,170000,430000,3610000,621500000,0.884
1988,3030000,180000,470000,3680000,642500000,0.875
1989,3110000,190000,510000,3810000,658450000,0.868
1990,3300000,220000,550000,4070000,707490000,0.867
1991,3610000,250000,580000,4440000,771860000,0.873
1992,4050000,260000,610000,4920000,852430000,0.88
1993,4410000,280000,660000,5360000,923560000,0.879
1994,4760000,320000,750000,5830000,1001520000,0.874
1995,5100000,370000,850000,6320000,1078920000,0.868
1996,5270000,410000,9e+05,6580000,1125740000,0.865
1997,5520000,450000,950000,6920000,1191210000,0.865
1998,5640000,5e+05,1010000,7140000,1220900000,0.861
1999,5720000,560000,1090000,7370000,1267620000,0.854
2000,5730000,610000,1210000,7550000,1303350000,0.842
2001,5800000,670000,1320000,7790000,1334510000,0.832
2002,6030000,7e+05,1410000,8150000,1404760000,0.829
2003,6220000,740000,1470000,8430000,1447900000,0.828
2004,6520000,8e+05,1580000,8900000,1524910000,0.824
2005,6800000,860000,1700000,9360000,1603880000,0.821
2006,6990000,920000,1860000,9760000,1663070000,0.812
2007,7150000,980000,1990000,10120000,1713960000,0.806
2008,7480000,1040000,2080000,10610000,1812410000,0.806
2009,7990000,1070000,2010000,11080000,1866650000,0.821
2010,8680000,1050000,1940000,11670000,1968010000,0.835
2011,9200000,980000,2e+06,12170000,2048090000,0.837
2012,9770000,1040000,2050000,12870000,2145040000,0.842
2013,10160000,1020000,2020000,13200000,2222980000,0.848
2014,10550000,1010000,2080000,13640000,2273600000,0.849
2015,11050000,9e+05,2100000,14040000,2334150000,0.852
2016,11730000,880000,2220000,14830000,2447910000,0.851
